Year,Site,Location,TUs,TU_avg_nonPest_MS1,TU_avg_Pest_MS1,TU_avg_nonPest_MS2,TU_avg_Pest_MS2,TU_avg_other_MS3,TU_avg_Pesticide_MS3,TU_avg_Pharma_MS3,TU_avg_Metals_MS4,TU_avg_Other_MS4,TU_avg_Pesticides_MS4,TU_avg_Pharma_MS4,TU_avg_Fungicide_MS5,TU_avg_Herbicide_MS5,TU_avg_Insecticide_MS5,TU_avg_Other_MS5,TU_avg_Pharma_MS5
2013,BUT,D,0.007423293,0.001575805,0.005849908,0.001573386,0.005847488,0.001519959,0.005847488,5.58E-05,NA,0.001519959,0.005847488,5.58E-05,3.86E-06,5.52E-05,0.00579089,0.00151754,5.58E-05
2013,BUT,U1,1.70E-05,9.77E-06,9.14E-06,7.82E-06,7.19E-06,9.24E-06,7.19E-06,0.000000528,NA,9.24E-06,7.19E-06,0.000000528,2.22E-07,8.83E-06,0.00000008,7.30E-06,0.000000528
2013,BUT,U2,1.70E-05,9.77E-06,9.14E-06,7.82E-06,7.19E-06,9.24E-06,7.19E-06,0.000000528,NA,9.24E-06,7.19E-06,0.000000528,2.22E-07,8.83E-06,0.00000008,7.30E-06,0.000000528
2013,COL,D,0.001819359,0.001623611,0.000241548,0.00157781,0.000195748,0.001298258,0.000195748,0.000325353,NA,0.001298258,0.000195748,0.000325353,0.000127688,0.000111258,2.60E-06,0.001252457,0.000325353
2013,COL,U1,0.000740264,0.000504122,0.000247096,0.000493168,0.000236142,0.000503826,0.000236142,2.96E-07,NA,0.000503826,0.000236142,2.96E-07,0.000136474,0.000110443,1.78E-07,0.000492872,2.96E-07
2013,COL,U2,0.000740264,0.000504122,0.000247096,0.000493168,0.000236142,0.000503826,0.000236142,2.96E-07,NA,0.000503826,0.000236142,2.96E-07,0.000136474,0.000110443,1.78E-07,0.000492872,2.96E-07
2013,DUR,D,0.007870082,0.005014597,0.002929099,0.004940983,0.002855485,0.004144345,0.002855485,0.000870252,NA,0.004144345,0.002855485,0.000870252,7.04E-05,1.51E-05,0.002843577,0.004070731,0.000870252
2013,DUR,U1,0.00059209,0.00058497,2.93E-05,0.00056284,7.12E-06,0.000583732,7.12E-06,1.24E-06,NA,0.000583732,7.12E-06,1.24E-06,1.92E-05,9.99E-06,9.72E-08,0.000561602,1.24E-06
2013,DUR,U2,0.00059209,0.00058497,2.93E-05,0.00056284,7.12E-06,0.000583732,7.12E-06,1.24E-06,NA,0.000583732,7.12E-06,1.24E-06,1.92E-05,9.99E-06,9.72E-08,0.000561602,1.24E-06
2013,HER,D,0.01791824,0.008683707,0.009341652,0.008576588,0.009234533,0.007242266,0.009234533,0.001441441,NA,0.007242266,0.009234533,0.001441441,0.000908003,2.42E-05,0.008409399,0.007135147,0.001441441
2013,HER,U1,0.000397758,0.000393831,5.94E-05,0.000338351,3.93E-06,0.000393222,3.93E-06,6.09E-07,NA,0.000393222,3.93E-06,6.09E-07,4.46E-05,1.48E-05,4.27E-08,0.000337741,6.09E-07
2013,HER,U2,0.000397758,0.000393831,5.94E-05,0.000338351,3.93E-06,0.000393222,3.93E-06,6.09E-07,NA,0.000393222,3.93E-06,6.09E-07,4.46E-05,1.48E-05,4.27E-08,0.000337741,6.09E-07
2013,HOC,D,0.015056741,0.013624981,0.001476401,0.01358034,0.001431761,0.013053635,0.001431761,0.000571346,NA,0.013053635,0.001431761,0.000571346,4.46E-05,1.08E-05,0.001421048,0.013008995,0.000571346
2013,HOC,U1,0.003824846,0.003608363,0.000228723,0.003596123,0.000216483,0.003597888,0.000216483,1.05E-05,NA,0.003597888,0.000216483,1.05E-05,1.31E-05,5.51E-06,0.000210101,0.003585648,1.05E-05
2013,HOC,U2,0.003824846,0.003608363,0.000228723,0.003596123,0.000216483,0.003597888,0.000216483,1.05E-05,NA,0.003597888,0.000216483,1.05E-05,1.31E-05,5.51E-06,0.000210101,0.003585648,1.05E-05
2013,HOR,D,0.004862081,0.002280478,0.002582628,0.002279453,0.002581603,0.001613947,0.002581603,0.000666531,NA,0.001613947,0.002581603,0.000666531,0.000243251,0.000125631,0.002213746,0.001612922,0.000666531
2013,HOR,U1,1.94E-05,0.000017399,1.86E-05,7.11E-07,1.96E-06,1.68E-05,1.96E-06,6.17E-07,NA,1.68E-05,1.96E-06,6.17E-07,1.57E-05,0.000002872,1.17E-07,0.000000094,6.17E-07
2013,HOR,U2,1.94E-05,0.000017399,1.86E-05,7.11E-07,1.96E-06,1.68E-05,1.96E-06,6.17E-07,NA,1.68E-05,1.96E-06,6.17E-07,1.57E-05,0.000002872,1.17E-07,0.000000094,6.17E-07
2013,KER,D,0.019730626,0.010899401,0.008877239,0.010853387,0.008831226,0.009908882,0.008831226,0.000990518,NA,0.009908882,0.008831226,0.000990518,6.70E-05,8.62E-05,0.00872403,0.009862869,0.000990518
2013,KER,U1,0.000481964,0.000375021,0.000109629,0.000372335,0.000106943,0.000370316,0.000106943,4.71E-06,NA,0.000370316,0.000106943,4.71E-06,0.000018168,9.10E-05,5.03E-07,0.000367629,4.71E-06
2013,KER,U2,0.000481964,0.000375021,0.000109629,0.000372335,0.000106943,0.000370316,0.000106943,4.71E-06,NA,0.000370316,0.000106943,4.71E-06,0.000018168,9.10E-05,5.03E-07,0.000367629,4.71E-06
2013,MES,D,0.07038918,0.002038317,0.068362416,0.002026764,0.068350864,0.001927557,0.068350864,0.000110759,NA,0.001927557,0.068350864,0.000110759,5.48E-05,0.000057185,0.068250428,0.001916005,0.000110759
2013,MES,U1,0.009629045,6.10E-05,0.009574667,5.44E-05,0.009568083,6.09E-05,0.009568083,9.65E-08,NA,6.09E-05,0.009568083,9.65E-08,6.10E-05,6.78E-05,0.009445849,5.43E-05,9.65E-08
2013,MES,U2,0.009629045,6.10E-05,0.009574667,5.44E-05,0.009568083,6.09E-05,0.009568083,9.65E-08,NA,6.09E-05,0.009568083,9.65E-08,6.10E-05,6.78E-05,0.009445849,5.43E-05,9.65E-08
2013,NIE,D,0.004475715,0.003252622,0.00124108,0.003234635,0.001223094,0.00258043,0.001223094,0.000672192,NA,0.00258043,0.001223094,0.000672192,2.88E-05,1.96E-06,0.001210346,0.002562444,0.000672192
2013,NIE,U1,7.70E-05,0.000076865,4.34E-06,7.27E-05,1.82E-07,7.68E-05,1.82E-07,3.83E-08,NA,7.68E-05,1.82E-07,3.83E-08,3.78E-06,5.31E-07,2.93E-08,7.27E-05,3.83E-08
2013,NIE,U2,7.70E-05,0.000076865,4.34E-06,7.27E-05,1.82E-07,7.68E-05,1.82E-07,3.83E-08,NA,7.68E-05,1.82E-07,3.83E-08,3.78E-06,5.31E-07,2.93E-08,7.27E-05,3.83E-08
2013,ROM,D,0.006212971,0.00483545,0.001401097,0.004811874,0.001377521,0.004318675,0.001377521,0.000516775,NA,0.004318675,0.001377521,0.000516775,8.46E-05,4.51E-06,0.001311991,0.004295099,0.000516775
2013,ROM,U1,0.001792427,0.001312868,0.000485038,0.001307389,0.000479559,0.001312101,0.000479559,7.67E-07,NA,0.001312101,0.000479559,7.67E-07,1.07E-05,1.85E-06,0.000472533,0.001306622,7.67E-07
2013,ROM,U2,0.001792427,0.001312868,0.000485038,0.001307389,0.000479559,0.001312101,0.000479559,7.67E-07,NA,0.001312101,0.000479559,7.67E-07,1.07E-05,1.85E-06,0.000472533,0.001306622,7.67E-07
2013,ROT,D,0.000798406,0.000796621,7.22E-06,0.000791186,1.79E-06,0.00063987,1.79E-06,0.00015675,NA,0.00063987,1.79E-06,0.00015675,6.15E-06,9.87E-07,0.00000008,0.000634436,0.00015675
2013,ROT,U1,0.000172823,0.000172625,2.23E-06,0.000170595,1.98E-07,0.000169452,1.98E-07,3.17E-06,NA,0.000169452,1.98E-07,3.17E-06,1.46E-06,7.40E-07,0.000000026,0.000167423,3.17E-06
2013,ROT,U2,0.000172823,0.000172625,2.23E-06,0.000170595,1.98E-07,0.000169452,1.98E-07,3.17E-06,NA,0.000169452,1.98E-07,3.17E-06,1.46E-06,7.40E-07,0.000000026,0.000167423,3.17E-06
2013,SEV,D,0.003125253,0.002583899,0.000554763,0.00257049,0.000541354,0.002524535,0.000541354,5.94E-05,NA,0.002524535,0.000541354,5.94E-05,2.31E-05,4.92E-05,0.000482456,0.002511126,5.94E-05
2013,SEV,U1,0.00080687,0.000347628,0.000469687,0.000337182,0.000459242,0.000347499,0.000459242,1.29E-07,NA,0.000347499,0.000459242,1.29E-07,4.54E-05,5.69E-05,0.000367468,0.000337053,1.29E-07
2013,SEV,U2,0.00080687,0.000347628,0.000469687,0.000337182,0.000459242,0.000347499,0.000459242,1.29E-07,NA,0.000347499,0.000459242,1.29E-07,4.54E-05,5.69E-05,0.000367468,0.000337053,1.29E-07
2014,AAD,D,0.049623373,0.039319095,0.010559936,0.039063436,0.010304277,0.03891534,0.010304277,0.000403756,0.033369302,0.005546037,0.010304277,0.000403756,0.000234637,4.80E-05,0.010277324,0.038659681,0.000403756
2014,AAD,U1,0.015759176,0.015753175,1.81E-05,0.015741107,6.00E-06,0.015751396,6.00E-06,1.78E-06,0.015622505,0.000128891,6.00E-06,1.78E-06,1.48E-05,0.000002942,3.10E-07,0.015739328,1.78E-06
2014,AAD,U2,0.015759176,0.015753175,1.81E-05,0.015741107,6.00E-06,0.015751396,6.00E-06,1.78E-06,0.015622505,0.000128891,6.00E-06,1.78E-06,1.48E-05,0.000002942,3.10E-07,0.015739328,1.78E-06
2014,BIR,D,0.052068239,0.050525745,0.00157982,0.050488419,0.001542494,0.050178014,0.001542494,0.000347731,0.045183971,0.004994043,0.001542494,0.000347731,9.96E-05,9.36E-06,0.00147085,0.050140688,0.000347731
2014,BIR,U1,0.019628099,0.019506835,0.000124194,0.019503906,0.000121264,0.01950554,0.000121264,1.30E-06,0.019396812,0.000108727,0.000121264,1.30E-06,3.47E-05,1.96E-06,8.76E-05,0.01950261,1.30E-06
2014,BIR,U2,0.019628099,0.019506835,0.000124194,0.019503906,0.000121264,0.01950554,0.000121264,1.30E-06,0.019396812,0.000108727,0.000121264,1.30E-06,3.47E-05,1.96E-06,8.76E-05,0.01950261,1.30E-06
2014,ELG,D,0.043035085,0.041294585,0.001765652,0.041269434,0.001740501,0.041112113,0.001740501,0.000182471,0.037241973,0.003870141,0.001740501,0.000182471,1.81E-05,1.57E-05,0.001731834,0.041086963,0.000182471
2014,ELG,U1,0.01767586,0.017673017,0.000008414,0.017667446,2.84E-06,0.017667975,2.84E-06,5.04E-06,0.017589125,7.88E-05,2.84E-06,5.04E-06,3.83E-06,4.54E-06,3.82E-08,0.017662403,5.04E-06
2014,ELG,U2,0.01767586,0.017673017,0.000008414,0.017667446,2.84E-06,0.017667975,2.84E-06,5.04E-06,0.017589125,7.88E-05,2.84E-06,5.04E-06,3.83E-06,4.54E-06,3.82E-08,0.017662403,5.04E-06
2014,ELL,D,0.058123477,0.056874012,0.001302532,0.056820944,0.001249465,0.056272163,0.001249465,0.000601849,0.049837005,0.006435159,0.001249465,0.000601849,9.50E-05,4.21E-05,0.001165415,0.056219096,0.000601849
2014,ELL,U1,0.027530964,0.02738741,0.00016147,0.027369493,0.000143553,0.027387395,0.000143553,1.53E-08,0.027075841,0.000311555,0.000143553,1.53E-08,5.01E-05,2.35E-05,8.78E-05,0.027369478,1.53E-08
2014,ELL,U2,0.027530964,0.02738741,0.00016147,0.027369493,0.000143553,0.027387395,0.000143553,1.53E-08,0.027075841,0.000311555,0.000143553,1.53E-08,5.01E-05,2.35E-05,8.78E-05,0.027369478,1.53E-08
2014,KNO,D,0.044091267,0.04211236,0.002016803,0.042074464,0.001978907,0.040927698,0.001978907,0.001184662,0.034344308,0.00658339,0.001978907,0.001184662,0.000250253,9.88E-06,0.001756667,0.040889802,0.001184662
2014,KNO,U1,0.026365523,0.025461481,0.000913823,0.0254517,0.000904042,0.025461471,0.000904042,9.60E-09,0.025184157,0.000277314,0.000904042,9.60E-09,0.000263566,3.04E-06,0.000647212,0.025451691,9.60E-09
2014,KNO,U2,0.026365523,0.025461481,0.000913823,0.0254517,0.000904042,0.025461471,0.000904042,9.60E-09,0.025184157,0.000277314,0.000904042,9.60E-09,0.000263566,3.04E-06,0.000647212,0.025451691,9.60E-09
2014,MAR,D,0.04764733,0.046376662,0.001302337,0.046344993,0.001270668,0.04623475,0.001270668,0.000141911,0.041952926,0.004281825,0.001270668,0.000141911,0.00010419,1.79E-05,0.001180236,0.046203082,0.000141911
2014,MAR,U1,0.025821577,0.025769522,0.000062674,0.025758903,0.000052055,0.025769503,0.000052055,1.86E-08,0.025692494,7.70E-05,0.000052055,1.86E-08,5.76E-05,4.52E-06,5.47E-07,0.025758884,1.86E-08
2014,MAR,U2,0.025821577,0.025769522,0.000062674,0.025758903,0.000052055,0.025769503,0.000052055,1.86E-08,0.025692494,7.70E-05,0.000052055,1.86E-08,5.76E-05,4.52E-06,5.47E-07,0.025758884,1.86E-08
2014,MUR,D,0.066288491,0.053233405,0.013117334,0.053171157,0.013055086,0.052886034,0.013055086,0.000347371,0.043531914,0.00935412,0.013055086,0.000347371,0.00025795,2.36E-05,0.012835798,0.052823786,0.000347371
2014,MUR,U1,0.008658658,0.00833357,0.00032648,0.008332178,0.000325088,0.008333564,0.000325088,5.80E-09,0.008309017,2.45E-05,0.000325088,5.80E-09,1.50E-06,1.27E-06,0.000323712,0.008332172,5.80E-09
2014,MUR,U2,0.008658658,0.00833357,0.00032648,0.008332178,0.000325088,0.008333564,0.000325088,5.80E-09,0.008309017,2.45E-05,0.000325088,5.80E-09,1.50E-06,1.27E-06,0.000323712,0.008332172,5.80E-09
2014,REI,D,0.050688102,0.047208104,0.00352568,0.047162423,0.003479999,0.046263991,0.003479999,0.000944112,0.03804958,0.008214411,0.003479999,0.000944112,5.57E-05,1.55E-05,0.003454501,0.04621831,0.000944112
2014,REI,U1,0.017772741,0.017557465,0.000220768,0.017551973,0.000215276,0.01755745,0.000215276,1.49E-08,0.017397687,0.000159763,0.000215276,1.49E-08,8.03E-06,2.83E-06,0.000209907,0.017551958,1.49E-08
2014,REI,U2,0.017772741,0.017557465,0.000220768,0.017551973,0.000215276,0.01755745,0.000215276,1.49E-08,0.017397687,0.000159763,0.000215276,1.49E-08,8.03E-06,2.83E-06,0.000209907,0.017551958,1.49E-08
2014,UNT,D,0.070184782,0.061758233,0.008570295,0.061614487,0.008426549,0.061050866,0.008426549,0.000707366,0.052179177,0.00887169,0.008426549,0.000707366,0.000198098,8.09E-05,0.0082913,0.06090712,0.000707366
2014,UNT,U1,0.030737197,0.030486032,0.000274728,0.030462469,0.000251165,0.030486028,0.000251165,3.70E-09,0.030089846,0.000396183,0.000251165,3.70E-09,4.51E-05,2.95E-05,0.000200092,0.030462466,3.70E-09
2014,UNT,U2,0.030737197,0.030486032,0.000274728,0.030462469,0.000251165,0.030486028,0.000251165,3.70E-09,0.030089846,0.000396183,0.000251165,3.70E-09,4.51E-05,2.95E-05,0.000200092,0.030462466,3.70E-09
2014,VAL,D,0.07549851,0.067294956,0.008264546,0.067233965,0.008203555,0.066707114,0.008203555,0.000587842,0.052835369,0.013871745,0.008203555,0.000587842,4.97E-05,0.000226047,0.007988793,0.066646123,0.000587842
2014,VAL,U1,0.028320815,0.028186272,0.000148772,0.028172043,0.000134543,0.028168407,0.000134543,1.79E-05,0.027458307,0.0007101,0.000134543,1.79E-05,1.09E-05,5.03E-05,8.75E-05,0.028154177,1.79E-05
2014,VAL,U2,0.028320815,0.028186272,0.000148772,0.028172043,0.000134543,0.028168407,0.000134543,1.79E-05,0.027458307,0.0007101,0.000134543,1.79E-05,1.09E-05,5.03E-05,8.75E-05,0.028154177,1.79E-05
2014,VIL,D,0.033327849,0.032831773,0.000509125,0.032818724,0.000496076,0.032675126,0.000496076,0.000156647,0.028852148,0.003822978,0.000496076,0.000156647,1.08E-05,3.13E-06,0.000495169,0.032662077,0.000156647
2014,VIL,U1,0.015191533,0.01519096,4.82E-06,0.015186716,5.73E-07,0.015187317,5.73E-07,3.64E-06,0.015089242,9.81E-05,5.73E-07,3.64E-06,3.79E-06,1.03E-06,8.00E-10,0.015183073,3.64E-06
2014,VIL,U2,0.015191533,0.01519096,4.82E-06,0.015186716,5.73E-07,0.015187317,5.73E-07,3.64E-06,0.015089242,9.81E-05,5.73E-07,3.64E-06,3.79E-06,1.03E-06,8.00E-10,0.015183073,3.64E-06
2014,ZUL,D,0.058478802,0.055758821,0.002734279,0.055744524,0.002719982,0.055599397,0.002719982,0.000159424,0.053766881,0.001832516,0.002719982,0.000159424,1.29E-05,2.36E-06,0.002719051,0.055585099,0.000159424
2014,ZUL,U1,0.024532642,0.024200067,0.000339665,0.024192977,0.000332575,0.024199824,0.000332575,2.43E-07,0.024084509,0.000115315,0.000332575,2.43E-07,5.78E-06,0.0000015,0.000332387,0.024192734,2.43E-07
2014,ZUL,U2,0.024532642,0.024200067,0.000339665,0.024192977,0.000332575,0.024199824,0.000332575,2.43E-07,0.024084509,0.000115315,0.000332575,2.43E-07,5.78E-06,0.0000015,0.000332387,0.024192734,2.43E-07
