"","Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
"1",2013,"BUT","DS","3_D","coarse","alder","S",1,43,7.3906976744186,317.8,3.215,0.97,1.19828656517429,0.0278671294226579,0.0037705681723546
"2",2013,"BUT","DS","3_D","coarse","alder","S",2,43,7.3906976744186,317.8,3.215,1.07,1.10016870921577,0.0255853188189713,0.00346182727884131
"3",2013,"BUT","DS","3_D","coarse","alder","S",3,43,7.3906976744186,317.8,3.215,1.45,0.7962638012571,0.0185177628199325,0.00250555003542196
"4",2013,"BUT","DS","3_D","coarse","alder","S",4,43,7.3906976744186,317.8,3.215,1.3,0.905463093222092,0.0210572812377231,0.00284916014229733
"5",2013,"BUT","DS","3_D","coarse","alder","S",5,43,7.3906976744186,317.8,3.215,0.86,1.31865024742417,0.0306662848238178,0.0041493085192705
"6",2013,"BUT","DS","3_D","coarse","alder","S",6,43,7.3906976744186,317.8,3.215,0.79,1.40354969121065,0.032640690493271,0.00441645591947971
"7",2013,"BUT","US1","2_U1","coarse","alder","S",1,43,6.47906976744186,278.6,3.215,1.05,1.11903719352015,0.0260241207795384,0.00401664462857197
"8",2013,"BUT","US1","2_U1","coarse","alder","S",2,43,6.47906976744186,278.6,3.215,0.53,1.80270563012555,0.0419233867471059,0.00647058732995532
"9",2013,"BUT","US1","2_U1","coarse","alder","S",3,43,6.47906976744186,278.6,3.215,1.33,0.88264841545592,0.0205267073361842,0.00316815655224666
"10",2013,"BUT","US1","2_U1","coarse","alder","S",6,43,6.47906976744186,278.6,3.215,1.38,0.845743858520469,0.0196684618260574,0.00303569224163844
"11",2013,"BUT","US1","2_U1","coarse","alder","S",4,43,6.47906976744186,278.6,3.215,0.29,2.4057017136912,0.0559465514811907,0.00863496666795118
"12",2013,"BUT","US1","2_U1","coarse","alder","S",5,43,6.47906976744186,278.6,3.215,1.42,0.817170486076413,0.0190039647924747,0.00293313168010199
"13",2013,"BUT","US2","1_U2","coarse","alder","S",2,43,6.73023255813953,289.4,3.215,0.13,3.20804818621614,0.0746057717724683,0.0110851699592817
"14",2013,"BUT","US2","1_U2","coarse","alder","S",4,43,6.73023255813953,289.4,3.215,1.08,1.09086631655345,0.0253689841058943,0.00376940676072375
"15",2013,"BUT","US2","1_U2","coarse","alder","S",1,43,6.73023255813953,289.4,3.215,0.16,3.00040882143789,0.0697769493357649,0.0103676877036555
"16",2013,"BUT","US2","1_U2","coarse","alder","S",5,43,6.73023255813953,289.4,3.215,0.48,1.90179653276978,0.0442278263434833,0.0065715153171036
"17",2013,"BUT","US2","1_U2","coarse","alder","S",6,43,6.73023255813953,289.4,3.215,0.38,2.13541138395129,0.0496607298593323,0.00737875391828365
"18",2013,"BUT","US2","1_U2","coarse","alder","S",3,43,6.73023255813953,289.4,3.215,1.35,0.867722765239245,0.0201795991916103,0.00299835095106857
"19",2013,"COL","DS","3_D","coarse","alder","S",1,35,5.76571428571429,201.8,3.215,2.39,0.296533991746163,0.0084723997641761,0.00146944495414352
"20",2013,"COL","DS","3_D","coarse","alder","S",2,35,5.76571428571429,201.8,3.215,2.33,0.321959090111973,0.00919883114605638,0.0015954365218631
"21",2013,"COL","DS","3_D","coarse","alder","S",4,35,5.76571428571429,201.8,3.215,2.57,0.223921458782454,0.00639775596521298,0.00110962070754437
"22",2013,"COL","DS","3_D","coarse","alder","S",5,35,5.76571428571429,201.8,3.215,2.09,0.430663291712863,0.0123046654775104,0.00213410947330457
"23",2013,"COL","DS","3_D","coarse","alder","S",6,35,5.76571428571429,201.8,3.215,1.99,0.479692718953182,0.0137055062558052,0.00237706996508019
"24",2013,"COL","DS","3_D","coarse","alder","S",3,35,5.76571428571429,201.8,3.215,1.33,0.88264841545592,0.0252185261558834,0.00437387718263588
"25",2013,"COL","US1","2_U1","coarse","alder","S",3,35,5.77714285714286,202.2,3.215,2.08,0.435459463976356,0.012441698970753,0.00215360763588702
"26",2013,"COL","US1","2_U1","coarse","alder","M",1,35,5.77714285714286,202.2,3.215,1.96,0.494882884447157,0.0141395109842045,0.00244749201012442
"27",2013,"COL","US1","2_U1","coarse","alder","M",2,35,5.77714285714286,202.2,3.215,2.31,0.330579833155881,0.00944513809016801,0.00163491509968289
"28",2013,"COL","US1","2_U1","coarse","alder","S",4,35,5.77714285714286,202.2,3.215,2.25,0.356897141473254,0.0101970611849501,0.00176506993804774
"29",2013,"COL","US1","2_U1","coarse","alder","S",5,35,5.77714285714286,202.2,3.215,2.12,0.416411269005662,0.0118974648287332,0.00205940291298547
"30",2013,"COL","US1","2_U1","coarse","alder","S",6,35,5.77714285714286,202.2,3.215,1.4,0.83135512106837,0.0237530034590963,0.00411154857106019
"31",2013,"COL","US2","1_U2","coarse","alder","M",4,35,5.73142857142857,200.6,3.215,1.87,0.541888926823087,0.0154825407663739,0.0027013406122786
"32",2013,"COL","US2","1_U2","coarse","alder","M",1,35,5.73142857142857,200.6,3.215,1.36,0.860342657941622,0.0245812187983321,0.00428884674945973
"33",2013,"COL","US2","1_U2","coarse","alder","M",2,35,5.73142857142857,200.6,3.215,2.22,0.370320161805395,0.0105805760515827,0.00184606262116348
"34",2013,"COL","US2","1_U2","coarse","alder","S",3,35,5.73142857142857,200.6,3.215,2.29,0.339275540123434,0.00969358686066955,0.00169130378924942
"35",2013,"COL","US2","1_U2","coarse","alder","S",5,35,5.73142857142857,200.6,3.215,1.24,0.952715978072637,0.0272204565163611,0.00474933189467915
"36",2013,"COL","US2","1_U2","coarse","alder","M",6,35,5.73142857142857,200.6,3.215,1.39,0.838523610546982,0.0239578174441995,0.00418007781927708
"37",2013,"DUR","DS","3_D","coarse","alder","S",1,42,7.10238095238095,298.3,3.215,1.96,0.494882884447157,0.0117829258201704,0.00165901067531732
"38",2013,"DUR","DS","3_D","coarse","alder","S",2,42,7.10238095238095,298.3,3.215,1.95,0.499997985113927,0.011904713931284,0.0016761581800668
"39",2013,"DUR","DS","3_D","coarse","alder","S",3,42,7.10238095238095,298.3,3.215,1.6,0.697823728443847,0.0166148506772345,0.00233933532834008
"40",2013,"DUR","DS","3_D","coarse","alder","S",4,42,7.10238095238095,298.3,3.215,2.01,0.469692635618598,0.011183157990919,0.00157456465175527
"41",2013,"DUR","DS","3_D","coarse","alder","S",5,42,7.10238095238095,298.3,3.215,2.05,0.449987564539266,0.0107139896318873,0.00150850675340015
"42",2013,"DUR","DS","3_D","coarse","alder","S",6,42,7.10238095238095,298.3,3.215,2.01,0.469692635618598,0.011183157990919,0.00157456465175527
"43",2013,"DUR","US1","2_U1","coarse","alder","S",4,42,6.59523809523809,277,3.215,2.15,0.402359515550011,0.00957998846547646,0.00145256142797838
"44",2013,"DUR","US1","2_U1","coarse","alder","S",5,42,6.59523809523809,277,3.215,1.92,0.515502171649892,0.0122738612297593,0.00186101867021622
"45",2013,"DUR","US1","2_U1","coarse","alder","S",6,42,6.59523809523809,277,3.215,1.65,0.667052069777093,0.0158821921375498,0.00240813021580178
"46",2013,"DUR","US1","2_U1","coarse","alder","S",1,42,6.59523809523809,277,3.215,2.18,0.388502480888585,0.00925005906877584,0.00140253603208876
"47",2013,"DUR","US2","1_U2","coarse","alder","U",1,42,6.83809523809524,287.2,3.215,1.9,0.525973471517188,0.0125231778932664,0.00183138395375065
"48",2013,"DUR","US2","1_U2","coarse","alder","M",2,42,6.83809523809524,287.2,3.215,2.14,0.407021528655823,0.00969098877751958,0.00141720587972083
"49",2013,"DUR","US2","1_U2","coarse","alder","M",3,42,6.83809523809524,287.2,3.215,1.74,0.613942244463145,0.0146176724872177,0.00213768190969062
"50",2013,"DUR","US2","1_U2","coarse","alder","S",5,42,6.83809523809524,287.2,3.215,2.19,0.383925813861173,0.0091410908062184,0.00133678904547762
"51",2013,"DUR","US2","1_U2","coarse","alder","S",6,42,6.83809523809524,287.2,3.215,1.81,0.574500512411848,0.0136785836288535,0.00200034997357886
"52",2013,"DUR","US2","1_U2","coarse","alder","S",4,42,6.83809523809524,287.2,3.215,1.89,0.531250528618032,0.0126488221099531,0.0018497581080015
"53",2013,"HER","DS","3_D","coarse","alder","S",3,42,7.03095238095238,295.3,3.215,1.53,0.742559622285239,0.0176799910067914,0.00251459404769806
"54",2013,"HER","DS","3_D","coarse","alder","S",4,42,7.03095238095238,295.3,3.215,1.83,0.563511390836253,0.0134169378770536,0.00190826749351931
"55",2013,"HER","DS","3_D","coarse","alder","P",1,42,7.03095238095238,295.3,3.215,1.54,0.736044941264045,0.0175248795539058,0.00249253281836791
"56",2013,"HER","DS","3_D","coarse","alder","P",2,42,7.03095238095238,295.3,3.215,1.01,1.15787702683641,0.0275685006389623,0.00392101939328281
"57",2013,"HER","DS","3_D","coarse","alder","S",6,42,7.03095238095238,295.3,3.215,1.93,0.510307354772789,0.0121501751136378,0.00172809805205821
"58",2013,"HER","DS","3_D","coarse","alder","S",5,42,7.03095238095238,295.3,3.215,1.71,0.631333987175014,0.0150317615994051,0.00213794103344062
"59",2013,"HER","US1","2_U1","coarse","alder","S",4,42,5.79285714285714,243.3,3.215,1.89,0.531250528618032,0.0126488221099531,0.00218352046287724
"60",2013,"HER","US1","2_U1","coarse","alder","S",5,42,5.79285714285714,243.3,3.215,1.94,0.505139384614346,0.0120271282051035,0.0020761996901535
"61",2013,"HER","US1","2_U1","coarse","alder","S",3,42,5.79285714285714,243.3,3.215,1.83,0.563511390836253,0.0134169378770536,0.00231611751268497
"62",2013,"HER","US2","1_U2","coarse","alder","S",5,42,6.06190476190476,254.6,3.215,1.37,0.853016617849549,0.0203099194726083,0.00335041876610192
"63",2013,"HER","US2","1_U2","coarse","alder","S",6,42,6.06190476190476,254.6,3.215,1.6,0.697823728443847,0.0166148506772345,0.0027408630339507
"64",2013,"HER","US2","1_U2","coarse","alder","S",4,42,6.06190476190476,254.6,3.215,1.96,0.494882884447157,0.0117829258201704,0.00194376623899119
"65",2013,"HER","US2","1_U2","coarse","alder","S",1,42,6.06190476190476,254.6,3.215,1.38,0.845743858520469,0.0201367585362017,0.00332185333275911
"66",2013,"HER","US2","1_U2","coarse","alder","S",2,42,6.06190476190476,254.6,3.215,2,0.474680177129637,0.0113019089792771,0.00186441546398129
"67",2013,"HER","US2","1_U2","coarse","alder","S",3,42,6.06190476190476,254.6,3.215,1.89,0.531250528618032,0.0126488221099531,0.00208660851774561
"68",2013,"HOC","DS","3_D","coarse","alder","S",4,32,7.446875,238.3,3.215,1.27,0.928810457219083,0.0290253267880963,0.00389765193965205
"69",2013,"HOC","DS","3_D","coarse","alder","M",6,32,7.446875,238.3,3.215,1.92,0.515502171649892,0.0161094428640591,0.00216324872702431
"70",2013,"HOC","DS","3_D","coarse","alder","S",2,32,7.446875,238.3,3.215,2.01,0.469692635618598,0.0146778948630812,0.00197101399756021
"71",2013,"HOC","DS","3_D","coarse","alder","P",1,32,7.446875,238.3,3.215,1.05,1.11903719352015,0.0349699122975047,0.00469591772354239
"72",2013,"HOC","DS","3_D","coarse","alder","M",3,32,7.446875,238.3,3.215,1.65,0.667052069777093,0.0208453771805342,0.00279921137128449
"73",2013,"HOC","DS","3_D","coarse","alder","M",5,32,7.446875,238.3,3.215,2.07,0.440278750412305,0.0137587109503845,0.00184758183135671
"74",2013,"HOC","US1","2_U1","coarse","alder","P",2,32,7.021875,224.7,3.215,0.42,2.03532792539431,0.0636039976685721,0.00905797919623634
"75",2013,"HOC","US1","2_U1","coarse","alder","P",1,32,7.021875,224.7,3.215,0.45,1.96633505390735,0.0614479704346048,0.00875093481934737
"76",2013,"HOC","US1","2_U1","coarse","alder","M",6,32,7.021875,224.7,3.215,0.99,1.17787769354308,0.0368086779232214,0.00524200130637777
"77",2013,"HOC","US1","2_U1","coarse","alder","S",3,32,7.021875,224.7,3.215,0.35,2.21764948218826,0.0693015463183831,0.00986937909296066
"78",2013,"HOC","US1","2_U1","coarse","alder","M",4,32,7.021875,224.7,3.215,0.65,1.59861027378204,0.0499565710556887,0.00711442044406781
"79",2013,"HOC","US1","2_U1","coarse","alder","S",5,32,7.021875,224.7,3.215,1.63,0.679247342870912,0.021226479464716,0.00302290762292351
"80",2013,"HOC","US2","1_U2","coarse","alder","P",1,32,7.278125,232.9,3.215,0.8,1.39097090900379,0.0434678409063685,0.0059723954873499
"81",2013,"HOC","US2","1_U2","coarse","alder","P",2,32,7.278125,232.9,3.215,1.34,0.875157743726763,0.0273486794914613,0.00375765454584269
"82",2013,"HOC","US2","1_U2","coarse","alder","S",5,32,7.278125,232.9,3.215,0.68,1.55348983850157,0.048546557453174,0.00667020110992515
"83",2013,"HOC","US2","1_U2","coarse","alder","P",3,32,7.278125,232.9,3.215,0.79,1.40354969121065,0.0438609278503329,0.00602640485706592
"84",2013,"HOC","US2","1_U2","coarse","alder","P",4,32,7.278125,232.9,3.215,1.21,0.977206998080933,0.0305377186900292,0.00419582223306541
"85",2013,"HOR","DS","3_D","coarse","alder","M",2,44,7.95454545454545,350,3.215,1.47,0.782564956898938,0.0177855672022486,0.00223589987685411
"86",2013,"HOR","DS","3_D","coarse","alder","M",5,44,7.95454545454545,350,3.215,0.86,1.31865024742417,0.0299693238050947,0.00376757213549762
"87",2013,"HOR","DS","3_D","coarse","alder","P",1,44,7.95454545454545,350,3.215,1.16,1.01940735257131,0.0231683489220752,0.00291259243591803
"88",2013,"HOR","DS","3_D","coarse","alder","M",3,44,7.95454545454545,350,3.215,0.73,1.48253810252928,0.0336940477847564,0.00423582315008367
"89",2013,"HOR","DS","3_D","coarse","alder","P",4,44,7.95454545454545,350,3.215,0.97,1.19828656517429,0.027233785572143,0.00342367590049798
"90",2013,"HOR","US1","2_U1","coarse","alder","S",4,44,7.02727272727273,309.2,3.215,1.08,1.09086631655345,0.0247924162853058,0.00352802819066447
"91",2013,"HOR","US1","2_U1","coarse","alder","M",5,44,7.02727272727273,309.2,3.215,0.99,1.17787769354308,0.0267699475805246,0.0038094362663101
"92",2013,"HOR","US1","2_U1","coarse","alder","M",3,44,7.02727272727273,309.2,3.215,0.99,1.17787769354308,0.0267699475805246,0.0038094362663101
"93",2013,"HOR","US1","2_U1","coarse","alder","M",6,44,7.02727272727273,309.2,3.215,1.46,0.789390921969338,0.0179407027720304,0.00255301074375594
"94",2013,"HOR","US1","2_U1","coarse","alder","S",1,44,7.02727272727273,309.2,3.215,1.36,0.860342657941622,0.019553242225946,0.00278247948881508
"95",2013,"HOR","US1","2_U1","coarse","alder","M",2,44,7.02727272727273,309.2,3.215,2.1,0.425890012960205,0.0096793184763683,0.00137739331487777
"96",2013,"HOR","US2","1_U2","coarse","alder","P",2,44,7.37045454545455,324.3,3.215,0.43,2.01179742798411,0.0457226688178207,0.00620350733266763
"97",2013,"HOR","US2","1_U2","coarse","alder","M",3,44,7.37045454545455,324.3,3.215,1.49,0.769051237732215,0.0174784372211867,0.00237141917277895
"98",2013,"HOR","US2","1_U2","coarse","alder","P",4,44,7.37045454545455,324.3,3.215,0.97,1.19828656517429,0.027233785572143,0.00369499403383994
"99",2013,"HOR","US2","1_U2","coarse","alder","M",5,44,7.37045454545455,324.3,3.215,1.59,0.704093341457442,0.0160021213967601,0.00217111730329153
"100",2013,"HOR","US2","1_U2","coarse","alder","S",6,44,7.37045454545455,324.3,3.215,1.48,0.775785269913559,0.0176314834071263,0.00239218399603318
