"Contrast","Site","Year","ES","Est","SE","CI_lower","CI_upper"
"D_U1","BUT",2013,"SMD",-1.34613930183062,1.19299858586368,-3.68437356373065,0.992094960069415
"D_U1","COL",2013,"SMD",-0.133433180441606,0.435923221171299,-0.987826993962041,0.720960633078828
"D_U1","DUR",2013,"SMD",-0.161093547489477,0.723755777998029,-1.57962880596838,1.25744171098943
"D_U1","ELG",2014,"SMD",-1.93545739150195,1.2443336800362,-4.37430658912309,0.503391806119189
"D_U1","ELL",2014,"SMD",-0.999600248313546,0.465215783842734,-1.91140642968488,-0.0877940669422167
"D_U1","HER",2013,"SMD",0.27723117101251,0.35941552236698,-0.427210308311421,0.981672650336441
"D_U1","HOC",2013,"SMD",-3.10373333652036,1.1840102579045,-5.42435079933916,-0.783115873701574
"D_U1","HOR",2013,"SMD",0.350244689362457,0.54516276230917,-0.718254690475887,1.4187440692008
"D_U1","KER",2013,"SMD",-0.640396630771135,0.684161525031715,-1.98132857944129,0.700535317899025
"D_U1","KNO",2014,"SMD",-1.17571081386332,0.551389667611622,-2.25641470382961,-0.0950069238970312
"D_U1","MAR",2014,"SMD",-0.481999025748088,0.481459918155804,-1.42564312533307,0.46164507383689
"D_U1","MES",2013,"SMD",-0.0475877174581537,0.596720895982851,-1.21713918240701,1.1219637474907
"D_U1","MUR",2014,"SMD",3.25447024215516,1.32058396159373,0.666173238870221,5.8427672454401
"D_U1","NIE",2013,"SMD",-0.642710132698267,0.564238350963026,-1.74859697928207,0.463176713885534
"D_U1","REI",2014,"SMD",-2.28977572380615,0.913451539545393,-4.08010784293778,-0.499443604674513
"D_U1","ROM",2013,"SMD",-0.44337695618764,0.649106888031677,-1.7156030788466,0.828849166471321
"D_U1","ROT",2013,"SMD",0.779307206289422,0.546947543374714,-0.292690280157676,1.85130469273652
"D_U1","SEV",2013,"SMD",-3.39018067763729,1.15547145233804,-5.65486310938404,-1.12549824589053
"D_U1","VAL",2014,"SMD",-6.33201263890309,1.80606807250373,-9.87184101463807,-2.79218426316811
"D_U1","VIL",2014,"SMD",-3.03642714695362,1.21001043501856,-5.40800402050765,-0.664850273399596
"D_U2","BUT",2013,"SMD",-3.98141641342223,1.89791176726972,-7.70125512310565,-0.261577703738813
"D_U2","COL",2013,"SMD",-0.767319930682968,0.559889069678836,-1.86468234259112,0.330042481225187
"D_U2","DUR",2013,"SMD",-0.10961306516393,0.495632824874163,-1.08103555147314,0.861809421145277
"D_U2","ELG",2014,"SMD",-3.27513244029552,1.70413378714542,-6.6151732879384,0.0649084073473585
"D_U2","ELL",2014,"SMD",-0.737800460317434,0.538445465367609,-1.79313418007686,0.317533259441988
"D_U2","HER",2013,"SMD",-0.108239804642383,0.456278110218444,-1.00252846760453,0.786048858319764
"D_U2","HOC",2013,"SMD",-1.76103604141389,0.712549478420043,-3.15760735631998,-0.364464726507806
"D_U2","HOR",2013,"SMD",0.132400537097515,0.758435470906186,-1.35410567047629,1.61890674467132
"D_U2","KER",2013,"SMD",-2.31178958215563,0.76819303047596,-3.81742025506319,-0.80615890924807
"D_U2","KNO",2014,"SMD",-0.902799348026989,0.469843579030592,-1.82367584129435,0.0180771452403696
"D_U2","MAR",2014,"SMD",1.46593349325242,0.554110336195791,0.379897190847292,2.55196979565756
"D_U2","MES",2013,"SMD",0.835330441912407,0.451924163252642,-0.05042464180617,1.72108552563098
"D_U2","MUR",2014,"SMD",2.11917484528491,1.94876681950849,-1.7003379352184,5.93868762578822
"D_U2","NIE",2013,"SMD",0.0432712110513691,0.49977514862933,-0.936270080630271,1.02281250273301
"D_U2","REI",2014,"SMD",-3.37545213408815,0.987865972480755,-5.31163386170306,-1.43927040647323
"D_U2","ROM",2013,"SMD",-2.66765173880956,1.30520041670985,-5.22579754816754,-0.109505929451572
"D_U2","ROT",2013,"SMD",-2.05016065140249,1.77137168684568,-5.52198536085399,1.42166405804901
"D_U2","SEV",2013,"SMD",-4.05099404806651,2.28056364998788,-8.52081666649397,0.418828570360948
"D_U2","VAL",2014,"SMD",-6.26668244679963,2.6142820023784,-11.3905810168926,-1.14278387670671
"D_U2","VIL",2014,"SMD",0.666712136030927,0.442910415535616,-0.201376326796549,1.5348005988584
"U1_U2","BUT",2013,"SMD",-0.835240183213165,0.636169640280771,-2.08210976622128,0.411629399794947
"U1_U2","COL",2013,"SMD",-0.820300765402777,0.650400476319252,-2.09506227451621,0.454460743710653
"U1_U2","DUR",2013,"SMD",0.0294598889556397,0.416856447236166,-0.787563734350568,0.846483512261847
"U1_U2","ELG",2014,"SMD",-0.426790252612054,0.580215650172961,-1.56399203021755,0.71041152499344
"U1_U2","ELL",2014,"SMD",0.54394955820767,0.844923336472327,-1.11206975097551,2.19996886739085
"U1_U2","HER",2013,"SMD",-1.70873761728097,1.44892284009102,-4.54857420023687,1.13109896567492
"U1_U2","HOC",2013,"SMD",0.595647908387452,0.420392931970814,-0.228307097630539,1.41960291440544
"U1_U2","HOR",2013,"SMD",-0.187589211430972,0.671768081337345,-1.50423045681574,1.1290520339538
"U1_U2","KER",2013,"SMD",-1.01449335175455,0.474779110621191,-1.94504330918404,-0.0839433943250547
"U1_U2","KNO",2014,"SMD",0.366748228351818,0.421283190726673,-0.458951652764578,1.19244810946821
"U1_U2","MAR",2014,"SMD",2.14866679468101,0.699958216009215,0.776773900620038,3.52055968874197
"U1_U2","MES",2013,"SMD",0.635834561603681,0.396795247256747,-0.141869832256209,1.41353895546357
"U1_U2","MUR",2014,"SMD",-0.474000778718414,0.839085900339727,-2.11857892331964,1.17057736588281
"U1_U2","NIE",2013,"SMD",0.570588875455875,0.4685822240587,-0.347815407494854,1.4889931584066
"U1_U2","REI",2014,"SMD",-0.636007713317874,0.404891474410308,-1.4295804208094,0.15756499417365
"U1_U2","ROM",2013,"SMD",-1.45130674996079,0.83423575342482,-3.08637878128908,0.183765281367491
"U1_U2","ROT",2013,"SMD",-2.72607182110721,1.80243007496249,-6.25876985268553,0.806626210471111
"U1_U2","SEV",2013,"SMD",-0.358359322690882,1.13130295706165,-2.57567237413537,1.85895372875361
"U1_U2","VAL",2014,"SMD",0.0409760959589061,1.29031551512847,-2.48799584238615,2.56994803430396
"U1_U2","VIL",2014,"SMD",1.53028315819896,0.540544154798863,0.470836082739542,2.58973023365837
